{17/06/22 14:57:32}{E1_TEFPAY_PASSIVO}{Debug} 		 Diretórios já existentes
{17/06/22 14:57:32}{E1_TEFPAY_PASSIVO}{Info} 		 Versão:  01.03.01
{17/06/22 14:57:32}{E1_TEFPAY_PASSIVO}{Info} 		 Produto TEF configurado:  1
{17/06/22 14:57:32}{E1_TEFPAY_PASSIVO}{Info} 		 [Base_Controller] Construído
{17/06/22 14:57:32}{E1_Bridge}{Debug} 		 Caminho para ler as configs: e1_bridge_configs.json
{17/06/22 14:57:32}{E1_Bridge}{Debug} 		 Bytes lidos: 165
{17/06/22 14:57:32}{E1_Bridge}{Debug} 		 Arquivo de configuracao lido com sucesso
{17/06/22 14:57:32}{E1_Bridge}{Info} 		 Parâmetro(s), 192.168.15.31, 3000, 3001
{17/06/22 14:57:32}{E1_Bridge}{Info} 		 Parâmetro(s), -1
{17/06/22 14:57:32}{E1_Bridge}{Debug} 		 {"e1_bridge_code":-1205,"e1_bridge_msg":"Timeout informado não está entre 1 e 10 minutos"}
{17/06/22 14:57:32}{E1_Bridge}{Info} 		 Parâmetro(s), false
{17/06/22 14:57:32}{E1_Bridge}{Debug} 		 ipTerminal: 192.168.15.31
{17/06/22 14:57:32}{E1_Bridge}{Debug} 		 portaTransacao: 3000
{17/06/22 14:57:32}{E1_Bridge}{Debug} 		 portaStatus: 3001
{17/06/22 14:57:32}{E1_Bridge}{Debug} 		 timeoutResposta: 180000
{17/06/22 14:57:32}{E1_Bridge}{Debug} 		 timeoutSocket: 4000
{17/06/22 14:57:32}{E1_Bridge}{Debug} 		 senha: 
{17/06/22 14:57:32}{E1_Bridge}{Debug} 		 senhaHabilitada: false
{17/06/22 14:57:32}{E1_Bridge}{Debug} 		 Caminho para ler as configs: e1_bridge_configs.json
{17/06/22 14:57:32}{E1_Bridge}{Debug} 		 Bytes lidos: 165
{17/06/22 14:57:32}{E1_Bridge}{Debug} 		 Arquivo de configuracao lido com sucesso
{17/06/22 14:57:32}{E1_Bridge}{Info} 		 Parâmetro(s), 192.168.15.31, 3000, 3001
{17/06/22 14:57:32}{E1_Bridge}{Info} 		 Parâmetro(s), -1
{17/06/22 14:57:32}{E1_Bridge}{Debug} 		 {"e1_bridge_code":-1205,"e1_bridge_msg":"Timeout informado não está entre 1 e 10 minutos"}
{17/06/22 14:57:32}{E1_Bridge}{Info} 		 Parâmetro(s), false
{17/06/22 14:57:32}{E1_Bridge}{Debug} 		 ipTerminal: 192.168.15.31
{17/06/22 14:57:32}{E1_Bridge}{Debug} 		 portaTransacao: 3000
